"No.","Time","Source","Destination","Protocol","Length","Info"
"132","0.522823","host","1.4.1","USB","27","URB_INTERRUPT in"
"133","0.530805","1.4.1","host","USB","31","URB_INTERRUPT in"
"134","0.530826","host","1.4.1","USB","27","URB_INTERRUPT in"
"135","0.538784","1.4.1","host","USB","31","URB_INTERRUPT in"
"136","0.538802","host","1.4.1","USB","27","URB_INTERRUPT in"
"137","0.546792","1.4.1","host","USB","31","URB_INTERRUPT in"
"138","0.546820","host","1.4.1","USB","27","URB_INTERRUPT in"
"139","0.554803","1.4.1","host","USB","31","URB_INTERRUPT in"
"140","0.554820","host","1.4.1","USB","27","URB_INTERRUPT in"
"141","0.562806","1.4.1","host","USB","31","URB_INTERRUPT in"
"142","0.562831","host","1.4.1","USB","27","URB_INTERRUPT in"
"143","0.570801","1.4.1","host","USB","31","URB_INTERRUPT in"
"144","0.570821","host","1.4.1","USB","27","URB_INTERRUPT in"
"145","0.578781","1.4.1","host","USB","31","URB_INTERRUPT in"
"146","0.578842","host","1.4.1","USB","27","URB_INTERRUPT in"
"147","0.586863","1.4.1","host","USB","31","URB_INTERRUPT in"
"148","0.586891","host","1.4.1","USB","27","URB_INTERRUPT in"
"149","0.594758","1.4.1","host","USB","31","URB_INTERRUPT in"
"150","0.594781","host","1.4.1","USB","27","URB_INTERRUPT in"
"151","0.602762","1.4.1","host","USB","31","URB_INTERRUPT in"
"152","0.602781","host","1.4.1","USB","27","URB_INTERRUPT in"
"153","0.610804","1.4.1","host","USB","31","URB_INTERRUPT in"
"154","0.610826","host","1.4.1","USB","27","URB_INTERRUPT in"
"155","0.618803","1.4.1","host","USB","31","URB_INTERRUPT in"
"156","0.618825","host","1.4.1","USB","27","URB_INTERRUPT in"
"157","0.626803","1.4.1","host","USB","31","URB_INTERRUPT in"
"158","0.626825","host","1.4.1","USB","27","URB_INTERRUPT in"
"159","0.634706","1.4.1","host","USB","31","URB_INTERRUPT in"
"160","0.634735","host","1.4.1","USB","27","URB_INTERRUPT in"
